ID;Category;Performed;Name;Professions
nm0000616;actor;173;Eric Roberts;actor,producer,soundtrack
nm2794335;actor;100;Sadhu Kokila;actor,composer,director
nm0103977;actor;95;Brahmanandam;actor,music_department,soundtrack
nm0043199;actor;82;Avinash;actor,visual_effects,camera_department
nm6489058;actor;80;Yogi Babu;actor
nm0001744;actor;74;Tom Sizemore;actor,producer,writer
nm0695177;actor;74;Prakash Raj;actor,producer,director
nm0154164;actor;70;Soumitra Chatterjee;actor
nm1894124;actor;69;Seiji Nakamitsu;actor
nm5724719;actor;69;Achyuth Kumar;actor
